CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Canada,CAN,,,NAT_TOTAL,2020-01-01,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-02,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-03,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-04,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-05,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-06,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-07,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-08,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-09,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
Canada,CAN,,,NAT_TOTAL,2020-01-10,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,0,,0,,0,,,0,0,,,,,,,0,,,,0,0,0,0,3.12,3.12,3.57,3.57,0,0
